Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,FF,FR,II,NP,PP,Total
CE 341,S1,31.0,43.0,,,5.0,4.0,2.0,,,,,,,,85
CE 341,S2,40.0,33.0,,,5.0,3.0,,,,,2.0,,,,83
CE 403,Main,5.0,5.0,,,5.0,6.0,6.0,,1.0,,2.0,,,,30
CE 433,Main,9.0,4.0,,,2.0,1.0,,,,,,,,,16
CE 463,S1,14.0,23.0,,1.0,42.0,28.0,24.0,20.0,1.0,,5.0,,,,158
CE 465,S1,5.0,6.0,,,12.0,13.0,15.0,13.0,6.0,,6.0,,,,76
CE 465,S2,10.0,20.0,,,14.0,13.0,11.0,9.0,13.0,,2.0,,,,92
CE 482,Main,4.0,12.0,,1.0,12.0,12.0,5.0,2.0,,,3.0,,,,51
CE 494,Main,24.0,7.0,,,2.0,1.0,1.0,,,,,5.0,,,40
CE 496,Main,3.0,2.0,,,3.0,1.0,2.0,1.0,2.0,,,1.0,,,15
CE6001,Main,8.0,10.0,,,10.0,14.0,6.0,3.0,,,1.0,,,,52
CE 603,Main,4.0,9.0,,,5.0,8.0,4.0,2.0,,,,,,,32
CE 605,Main,19.0,17.0,,1.0,13.0,10.0,7.0,2.0,4.0,,1.0,,,,74
CE6101,Main,7.0,14.0,,,9.0,5.0,2.0,2.0,2.0,,3.0,1.0,,,45
CE 616,Main,8.0,4.0,,1.0,8.0,6.0,5.0,1.0,2.0,,2.0,2.0,,,39
CE 623,Main,2.0,11.0,,,13.0,7.0,3.0,,,,,1.0,,,37
CE 626,Main,3.0,5.0,,,7.0,,2.0,,,,1.0,,,,18
CE 627,Main,13.0,14.0,,,2.0,,1.0,,,,1.0,,,,31
CE 630,Main,2.0,3.0,,,6.0,2.0,3.0,3.0,7.0,,6.0,,,,32
CE 641,Main,5.0,3.0,,,5.0,6.0,1.0,,,,,,,,20
CE 643,Main,,2.0,,,6.0,5.0,,,,,1.0,,,,14
CE 647,Main,1.0,2.0,,,3.0,7.0,1.0,,1.0,,,,,,15
CE 653,Main,3.0,1.0,,,4.0,4.0,3.0,4.0,1.0,,,,,,20
CE 675,Main,4.0,4.0,,,1.0,3.0,,,,,,,,,12
